id,sent_at_ns,client_received_at_ns,server_received_at_ns,webrtc_rtt_ns,end_to_end_rtt_ns,client_received_to_server_ns
1,1770969962300620479,1770969962300977922,1770969962301103344,482865,639662,125422
2,1770969962400741766,1770969962401212161,1770969962401320665,578899,680110,108504
3,1770969962500920089,1770969962501485285,1770969962501873285,953196,1192859,388000
4,1770969962601119284,1770969962601513012,1770969962601809985,690701,794070,296973
5,1770969962701312412,1770969962701687090,1770969962701914434,602022,689149,227344
6,1770969962801470779,1770969962802188312,1770969962802266234,795455,898395,77922
7,1770969962901649325,1770969962902035557,1770969962902204068,554743,672403,168511
8,1770969963001837547,1770969963002272338,1770969963002393558,556011,776350,121220
9,1770969963101981505,1770969963102353295,1770969963102644957,663452,766081,291662
10,1770969963202157161,1770969963202753004,1770969963202926656,769495,1080899,173652
11,1770969963302399853,1770969963303064976,1770969963303345417,945564,1064260,280441
12,1770969963402598359,1770969963403183156,1770969963403363637,765278,912801,180481
13,1770969963502774986,1770969963503267378,1770969963503419659,644673,840048,152281
14,1770969963602932614,1770969963603504906,1770969963603687293,754679,875504,182387
15,1770969963703118253,1770969963703769502,1770969963704085815,967562,1077123,316313
16,1770969963803358957,1770969963803983441,1770969963804126999,768042,945927,143558
17,1770969963903546528,1770969963904136287,1770969963904265216,718688,904895,128929
18,1770969964003832299,1770969964004259319,1770969964004532866,700567,933400,273547
19,1770969964103999934,1770969964104688155,1770969964104873065,873131,966462,184910
20,1770969964204217711,1770969964204852688,1770969964205072473,854762,939375,219785
21,1770969964304406236,1770969964305040370,1770969964305312809,906573,1123969,272439
22,1770969964404631175,1770969964405364719,1770969964405525520,894345,981457,160801
23,1770969964504876281,1770969964505380487,1770969964505593332,717051,937594,212845
24,1770969964605041477,1770969964605566359,1770969964605660926,619449,709906,94567
25,1770969964705205385,1770969964705636636,1770969964705777066,571681,645951,140430
26,1770969964805374791,1770969964805756097,1770969964805906231,531440,624928,150134
27,1770969964905554693,1770969964905975382,1770969964906177917,623224,846855,202535
28,1770969965005745591,1770969965006476963,1770969965006942782,1197191,1449968,465819
29,1770969965105995245,1770969965106425930,1770969965106544831,549586,766133,118901
30,1770969965206180533,1770969965206781829,1770969965206893747,713214,799984,111918
31,1770969965306396365,1770969965306978109,1770969965307128867,732502,974738,150758
32,1770969965406575665,1770969965407107704,1770969965407278947,703282,813332,171243
33,1770969965506725372,1770969965507113576,1770969965507351833,626461,821506,238257
34,1770969965606881660,1770969965607277265,1770969965607439472,557812,892693,162207
35,1770969965707044251,1770969965707425128,1770969965707635951,591700,701258,210823
36,1770969965807217666,1770969965807685156,1770969965807890103,672437,1056120,204947
37,1770969965907389070,1770969965907838729,1770969965907973273,584203,758771,134544
38,1770969966007569535,1770969966008098418,1770969966008284117,714582,789967,185699
39,1770969966107734685,1770969966108249139,1770969966108479115,744430,959891,229976
40,1770969966207911840,1770969966208354942,1770969966208557234,645394,732269,202292
41,1770969966308087613,1770969966308466979,1770969966308585548,497935,757064,118569
42,1770969966408255410,1770969966408693153,1770969966408807294,551884,631319,114141
43,1770969966508418064,1770969966508810212,1770969966508954632,536568,613805,144420
44,1770969966608583994,1770969966609100653,1770969966609264417,680423,762194,163764
45,1770969966708732929,1770969966709101659,1770969966709386293,653364,759044,284634
46,1770969966808921686,1770969966809419417,1770969966809543790,622104,705168,124373
47,1770969966909091895,1770969966909626838,1770969966909800817,708922,804595,173979
48,1770969967009265215,1770969967009705395,1770969967009994199,728984,939202,288804
49,1770969967109436385,1770969967109852937,1770969967109970914,534529,817965,117977
50,1770969967209685292,1770969967210265301,1770969967210438852,753560,845448,173551
51,1770969967309899043,1770969967310311560,1770969967310578160,679117,754206,266600
52,1770969967410079199,1770969967410425507,1770969967410515432,436233,520804,89925
53,1770969967510255202,1770969967510685222,1770969967510825951,570749,761796,140729
54,1770969967610440180,1770969967610995299,1770969967611152988,712808,843289,157689
55,1770969967710604590,1770969967711125517,1770969967711416765,812175,1021805,291248
56,1770969967810804999,1770969967811202382,1770969967811298537,493538,585706,96155
57,1770969967910989408,1770969967911585628,1770969967911765854,776446,961777,180226
58,1770969968011220555,1770969968011746642,1770969968011984347,763792,897706,237705
59,1770969968111390565,1770969968111955351,1770969968112251334,860769,968847,295983
60,1770969968211593750,1770969968212169989,1770969968212299438,705688,934211,129449
61,1770969968311779226,1770969968312141501,1770969968312276619,497393,600912,135118
62,1770969968411953503,1770969968412419078,1770969968412512590,559087,650602,93512
63,1770969968512189766,1770969968512809867,1770969968513036267,846501,1068181,226400
64,1770969968612393852,1770969968612831876,1770969968613131397,737545,980669,299521
65,1770969968712607137,1770969968713208889,1770969968713397745,790608,1014883,188856
66,1770969968812903702,1770969968813540480,1770969968813697125,793423,923808,156645
67,1770969968913108158,1770969968913556551,1770969968913698932,590774,850892,142381
68,1770969969013298034,1770969969013956085,1770969969014125848,827814,934819,169763
69,1770969969113507842,1770969969114026813,1770969969114166602,658760,742454,139789
70,1770969969213747104,1770969969214427736,1770969969214584174,837070,1029733,156438
71,1770969969313956357,1770969969314509809,1770969969314837629,881272,1073202,327820
72,1770969969414146478,1770969969414735222,1770969969414861920,715442,814121,126698
73,1770969969514341279,1770969969514974289,1770969969515232240,890961,1006710,257951
74,1770969969614551299,1770969969615075375,1770969969615237739,686440,797258,162364
75,1770969969714709888,1770969969715261009,1770969969715378289,668401,864918,117280
76,1770969969814989694,1770969969815608067,1770969969815703041,713347,888906,94974
77,1770969969915295869,1770969969915891790,1770969969916096370,800501,1029399,204580
78,1770969970015503496,1770969970016271093,1770969970016585203,1081707,1335401,314110
79,1770969970115708632,1770969970116288012,1770969970116400345,691713,786692,112333
80,1770969970215900531,1770969970216610701,1770969970216771238,870707,1130416,160537
81,1770969970316172717,1770969970317013294,1770969970317184669,1011952,1262227,171375
82,1770969970416464596,1770969970416997151,1770969970417119116,654520,923405,121965
83,1770969970516630542,1770969970517335095,1770969970517602460,971918,1262951,267365
84,1770969970616876241,1770969970617401023,1770969970617516564,640323,746418,115541
85,1770969970717046360,1770969970717491078,1770969970717630731,584371,785109,139653
86,1770969970817217509,1770969970817776046,1770969970817972248,754739,870701,196202
87,1770969970917383609,1770969970917742822,1770969970917885902,502293,629702,143080
88,1770969971017537433,1770969971018116398,1770969971018294966,757533,882891,178568
89,1770969971117724639,1770969971118187399,1770969971118328318,603679,688009,140919
90,1770969971217892643,1770969971218390612,1770969971218570608,677965,766272,179996
91,1770969971318053666,1770969971318483187,1770969971318818359,764693,849314,335172
92,1770969971418230502,1770969971418818397,1770969971419025630,795128,941289,207233
93,1770969971518410100,1770969971518892477,1770969971519093293,683193,865331,200816
94,1770969971618598507,1770969971619167162,1770969971619296099,697592,1030384,128937
95,1770969971718740168,1770969971719087728,1770969971719230877,490709,579503,143149
96,1770969971818929458,1770969971819696432,1770969971819866034,936576,1157846,169602
97,1770969971919134914,1770969971919604844,1770969971919800854,665940,771465,196010
98,1770969972019298435,1770969972019841268,1770969972020238940,940505,1147041,397672
99,1770969972119449550,1770969972119994514,1770969972120304002,854452,1094927,309488
100,1770969972219608436,1770969972220110556,1770969972220233436,625000,840921,122880
101,1770969972319773202,1770969972320298651,1770969972320461061,687859,1001121,162410
102,1770969972419945909,1770969972420384066,1770969972420556199,610290,702462,172133
103,1770969972520133667,1770969972520470971,1770969972520601978,468311,691335,131007
104,1770969972620321161,1770969972620707397,1770969972620847877,526716,620691,140480
105,1770969972720523406,1770969972721220867,1770969972721488742,965336,1066652,267875
106,1770969972820731847,1770969972821229305,1770969972821411781,679934,784151,182476
107,1770969972920915581,1770969972921473746,1770969972921596999,681418,785045,123253
108,1770969973021149970,1770969973021820334,1770969973021916579,766609,1011521,96245
109,1770969973121351708,1770969973121823652,1770969973121947443,595735,731932,123791
110,1770969973221568423,1770969973222221793,1770969973222376966,808543,914238,155173
111,1770969973321723702,1770969973322265312,1770969973322418575,694873,879453,153263
112,1770969973421907878,1770969973422502988,1770969973422591326,683448,758637,88338
113,1770969973522089581,1770969973522665676,1770969973522857764,768183,987680,192088
114,1770969973622302021,1770969973622896574,1770969973623051488,749467,849411,154914
115,1770969973722503369,1770969973723186065,1770969973723458590,955221,1192373,272525
116,1770969973822743510,1770969973823338733,1770969973823428080,684570,784840,89347
117,1770969973922925940,1770969973923466811,1770969973923580849,654909,866900,114038
118,1770969974023166452,1770969974023835953,1770969974023963970,797518,992399,128017
119,1770969974123385851,1770969974123895838,1770969974124013807,627956,862087,117969
120,1770969974223558878,1770969974224132109,1770969974224511475,952597,1057423,379366
121,1770969974323725640,1770969974324270142,1770969974324468632,742992,941797,198490
122,1770969974423892720,1770969974424367141,1770969974424518467,625747,734595,151326
123,1770969974524071091,1770969974524518984,1770969974524709990,638899,1027466,191006
124,1770969974624241743,1770969974624792869,1770969974625008754,767011,1024440,215885
125,1770969974724451298,1770969974725083089,1770969974725227705,776407,880268,144616
126,1770969974824705637,1770969974825390404,1770969974825519088,813451,1080524,128684
127,1770969974924942682,1770969974925373012,1770969974925548537,605855,831059,175525
128,1770969975025109976,1770969975025608188,1770969975025801431,691455,919147,193243
129,1770969975125282129,1770969975125727651,1770969975126000751,718622,941201,273100
130,1770969975225487950,1770969975225930904,1770969975226104480,616530,739318,173576
131,1770969975325677084,1770969975326408136,1770969975326687406,1010322,1144606,279270
132,1770969975425903001,1770969975426430024,1770969975426583283,680282,932817,153259
133,1770969975526056737,1770969975526585929,1770969975526702551,645814,752780,116622
134,1770969975626210276,1770969975626695076,1770969975626964168,753892,1055670,269092
135,1770969975726384879,1770969975726892621,1770969975727149116,764237,867251,256495
136,1770969975826554810,1770969975827232916,1770969975827851933,1297123,1442220,619017
137,1770969975926724177,1770969975927146952,1770969975927287835,563658,672724,140883
138,1770969976026887782,1770969976027382022,1770969976027557747,669965,770264,175725
139,1770969976127033121,1770969976127534418,1770969976127815166,782045,910352,280748
140,1770969976227219427,1770969976227740706,1770969976227857069,637642,854779,116363
141,1770969976327401476,1770969976327939276,1770969976328127506,726030,943405,188230
142,1770969976427609279,1770969976428018678,1770969976428212989,603710,719693,194311
143,1770969976527774428,1770969976528166302,1770969976528364241,589813,788187,197939
144,1770969976627938803,1770969976628322488,1770969976628533257,594454,678645,210769
145,1770969976728101770,1770969976728576378,1770969976728707870,606100,834180,131492
146,1770969976828275610,1770969976828709918,1770969976828857882,582272,683937,147964
147,1770969976928464884,1770969976929035451,1770969976929180601,715717,929107,145150
